sno sname sex cls collage grade major
20190000001 宋愉婉 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000002 史嘉月 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000003 余丁辰 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000004 叶静慧 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000005 冯听蓉 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000006 曾思涵 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000007 何菲菲 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000008 秦蔓蔓 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000009 秦听枫 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000010 邹白安 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000011 尹巧曼 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000012 袁欢悦 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000013 胡音景 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000014 钟微婉 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000015 邱彤雯 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000016 廖雪婧 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000017 范静云 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000018 谢平心 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000019 尹以蓝 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000020 丁清悦 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000021 梁贤琴 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000022 韩紫云 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000023 姜柔婉 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000024 傅问柳 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000025 戴怜翠 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000026 丁映雪 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000027 秦淑贞 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000028 龙欣然 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000029 卢语海 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000030 毛盼柳 女 2019智能系统1班 人工智能学院 2019 智能系统
20190000031 容康乐 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000032 白彬炳 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000033 边飞昂 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000034 唐高爽 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000035 郁鸿畅 男 2019智能系统1班 人工智能学院 2019 智能系统
20190000036 王弘方 男 2019智能系统1班 人工智能学院 2019 智能系统
