tno tname collage title leadclass sex
55000001 陆冷卉 音乐与舞蹈学院 教授 2022音乐教育3班 女
55000002 孔湛英 音乐与舞蹈学院 讲师 2022音乐教育2班 女
55000003 王尤文 音乐与舞蹈学院 副教授 2022音乐教育1班 女
55000004 冯清莹 音乐与舞蹈学院 教授 2022钢琴艺术3班 女
55000005 程鸿羲 音乐与舞蹈学院 讲师 2022钢琴艺术2班 男
55000006 梁承泽 音乐与舞蹈学院 副教授 2022钢琴艺术1班 男
55000007 刘德辉 音乐与舞蹈学院 教授 2022舞蹈艺术3班 男
55000008 杨康复 音乐与舞蹈学院 教授 2022舞蹈艺术2班 男
55000009 尹鹏天 音乐与舞蹈学院 讲师 2022舞蹈艺术1班 男
55000010 董梓菱 音乐与舞蹈学院 教授 2022舞蹈教育3班 女
55000011 龚应艳 音乐与舞蹈学院 副教授 2022舞蹈教育2班 女
55000012 傅正妍 音乐与舞蹈学院 讲师 2022舞蹈教育1班 女
55000013 梁寄琴 音乐与舞蹈学院 讲师 2022歌唱学3班 女
55000014 邱依玉 音乐与舞蹈学院 副教授 2022歌唱学2班 女
55000015 郑哲瀚 音乐与舞蹈学院 讲师 2022歌唱学1班 男
55000016 孔宏畅 音乐与舞蹈学院 教授 2022体操学3班 男
55000017 龙天泽 音乐与舞蹈学院 教授 2022体操学2班 男
55000018 曹哲瀚 音乐与舞蹈学院 副教授 2022体操学1班 男
55000019 田东玲 计算机科学与技术学院 讲师 2022软件工程3班 女
55000020 漕彩妍 计算机科学与技术学院 讲师 2022软件工程2班 女
55000021 徐明凝 计算机科学与技术学院 教授 2022软件工程1班 女
55000022 沈忆雪 计算机科学与技术学院 副教授 2022计算机科学与技术3班 女
55000023 钱曲静 计算机科学与技术学院 教授 2022计算机科学与技术2班 女
55000024 熊寻雪 计算机科学与技术学院 副教授 2022计算机科学与技术1班 女
55000025 段兴贤 计算机科学与技术学院 教授 2022大数据分析应用3班 男
55000026 易曾琪 计算机科学与技术学院 教授 2022大数据分析应用2班 男
55000027 方德泽 计算机科学与技术学院 教授 2022大数据分析应用1班 男
55000028 易运虹 计算机科学与技术学院 讲师 2022人工智能3班 女
55000029 黎妍雅 计算机科学与技术学院 副教授 2022人工智能2班 女
55000030 林朝雨 计算机科学与技术学院 讲师 2022人工智能1班 女
55000031 董洁雅 航空航天工程学院 教授 2022飞行器设计3班 女
55000032 傅代云 航空航天工程学院 教授 2022飞行器设计2班 女
55000033 罗巍然 航空航天工程学院 讲师 2022飞行器设计1班 男
55000034 易阳曜 航空航天工程学院 讲师 2022飞行器智能运控3班 男
55000035 孙博涉 航空航天工程学院 讲师 2022飞行器智能运控2班 男
55000036 沈俊爽 航空航天工程学院 教授 2022飞行器智能运控1班 男
55000037 宋平晓 航空航天工程学院 讲师 2022发动机制造3班 女
55000038 姚怡若 航空航天工程学院 副教授 2022发动机制造2班 女
55000039 杜安露 航空航天工程学院 副教授 2022发动机制造1班 女
